pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_termos_12m,rescindido_12m,acrescimo_12m,prazo_12m,label_adverso_12m,label_v1_sem_horizonte
00509018000113-2-000529/2025,TSE,2025-03-18,54720.0,285,Serviços,1000000,6.26,DEMAIS,,1,0,18.274854,1,0,0,0.0,0,0,0
00509018000113-2-000530/2025,TSE,2025-02-27,727801.07,1825,Locação Imóveis,300000,14.72,DEMAIS,,1,0,0.412201,1,0,0,0.0,0,0,0
00509018000113-2-000531/2025,TSE,2025-02-26,215240.22,1825,Locação Imóveis,,,,,0,0,,0,0,0,0.0,0,0,0
00509018000113-2-000535/2025,TSE,2025-03-21,2100.0,20,Serviços,0,28.79,MICRO EMPRESA,,1,0,,1,0,0,0.0,0,0,0
00509018000113-2-000536/2025,TSE,2025-03-21,2850.0,12,Compras,6402480,12.56,DEMAIS,,1,0,2246.484211,1,0,0,0.0,0,0,0
00509018000113-2-000537/2025,TSE,2025-03-20,5780.0,4,Serviços,10000,1.98,MICRO EMPRESA,0,1,0,1.730104,26,0,0,0.0,0,0,0
00509018000113-2-000538/2025,TSE,2025-03-07,576.0,365,Serviços,40000000,0.84,DEMAIS,,1,0,69444.444444,3,0,0,0.0,0,0,0
00509018000113-2-000539/2025,TSE,2025-03-07,1709.98,365,Serviços,3810299400,59.07,DEMAIS,,1,0,2228271.324811,22,0,0,0.0,0,0,0
00509018000113-2-000548/2025,TSE,2025-03-20,408000.0,364,Serviços,76270640,30.99,DEMAIS,,1,0,186.937843,1,0,0,0.0,0,0,0
00509018000113-2-000549/2025,TSE,2025-03-24,14000.0,282,Serviços,3000,3.01,MICRO EMPRESA,1,1,0,0.214286,2,0,0,0.0,0,0,0
00509018000113-2-000583/2025,TSE,2025-03-27,798929.52,914,Serviços,4572207,54.46,DEMAIS,,1,0,5.722917,1,1,0,0.0647,0,0,0
00509018000113-2-000585/2025,TSE,2025-03-28,124999.8,1826,Serviços,150000,10.05,EMPRESA DE PEQUENO PORTE,1,1,0,1.200002,1,0,0,0.0,0,0,0
00509018000113-2-000591/2025,TSE,2025-03-27,1701000.0,730,Serviços,18932468,33.13,DEMAIS,,1,0,11.130199,3,1,0,0.0,0,0,0
00509018000113-2-000592/2025,TSE,2025-03-27,5000.0,0,Serviços,1000,14.86,MICRO EMPRESA,1,1,0,0.2,1,0,0,0.0,0,0,0
00509018000113-2-000594/2025,TSE,2025-03-28,15720.0,1096,Serviços,100000,24.41,EMPRESA DE PEQUENO PORTE,1,1,0,6.361323,6,0,0,0.0,0,0,0
00509018000113-2-000595/2025,TSE,2025-03-27,3300.0,4,Serviços,4000,3.72,MICRO EMPRESA,1,1,0,1.212121,1,0,0,0.0,0,0,0
