pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_aditivos,rescindido,acrescimo_pct,prazo_extra_dias,label_desfecho_adverso
00509968000148-2-001205/2026,TST,2026-04-29,16000.0,81,Serviços,30000,26.0,MICRO EMPRESA,,1,0,1.875,1,0,0,0.0,0,0
00509968000148-2-001206/2026,TST,2026-05-20,1800.0,184,Serviços,0,23.36,DEMAIS,,1,0,,60,0,0,0.0,0,0
00509968000148-2-001209/2026,TST,2026-05-07,18390.0,10,Serviços,30000,12.77,MICRO EMPRESA,1,1,0,1.631321,1,0,0,0.0,0,0
00509968000148-2-001210/2026,TST,2026-05-19,4902.0,20,Compras,10000,4.04,MICRO EMPRESA,1,1,0,2.039984,1,0,0,0.0,0,0
00509968000148-2-001211/2026,TST,2026-05-25,19305.0,92,Serviços,119800,30.98,EMPRESA DE PEQUENO PORTE,1,1,0,6.205646,12,1,0,0.0,0,0
00509968000148-2-001212/2026,TST,2026-05-25,9291.0,220,Serviços,150000,14.98,DEMAIS,0,1,0,16.144656,59,0,0,0.0,0,0
00509968000148-2-001213/2026,TST,2026-05-20,1800.0,72,Serviços,0,23.36,DEMAIS,,1,0,,60,0,0,0.0,0,0
00509968000148-2-001214/2026,TST,2026-05-25,5954.0,0,Compras,25000,4.22,MICRO EMPRESA,1,1,0,4.198858,6,0,0,0.0,0,0
00509968000148-2-001215/2026,TST,2026-05-25,6500.0,220,Serviços,0,15.65,DEMAIS,,1,0,,1,0,0,0.0,0,0
00509968000148-2-001216/2026,TST,2026-05-25,2456000.0,1826,Serviços,4091142,23.18,DEMAIS,,1,0,1.665774,1,0,0,0.0,0,0
00509968000148-2-001217/2026,TST,2026-05-04,6443.5,27,Compras,104500,7.07,EMPRESA DE PEQUENO PORTE,1,1,0,16.217894,12,0,0,0.0,0,0
00509968000148-2-004608/2025,TST,2026-05-12,39461.28,233,Compras,50000,23.65,EMPRESA DE PEQUENO PORTE,0,1,0,1.267065,5,0,0,0.0,0,0
00509968000148-2-005609/2024,TST,2026-05-21,392.0,224,Compras,200000,10.39,EMPRESA DE PEQUENO PORTE,0,1,0,510.204082,6,0,0,0.0,0,0
00509968000148-2-001218/2026,TST,2026-05-20,6416.76,225,Serviços,600000,12.58,EMPRESA DE PEQUENO PORTE,0,1,0,93.505133,3,0,0,0.0,0,0
00509968000148-2-001219/2026,TST,2026-05-11,10950.0,29,Serviços,100000,14.18,EMPRESA DE PEQUENO PORTE,1,1,0,9.13242,1,0,0,0.0,0,0
00509968000148-2-001220/2026,TST,2026-05-19,10432.8,89,Compras,40000,1.85,MICRO EMPRESA,1,1,0,3.834062,6,0,0,0.0,0,0
00509968000148-2-001221/2026,TST,2026-05-26,330.0,219,Serviços,10000,0.5,MICRO EMPRESA,1,1,0,30.30303,1,0,0,0.0,0,0
00509968000148-2-001222/2026,TST,2026-05-25,724.5,220,Serviços,170000,6.61,MICRO EMPRESA,1,1,0,234.644582,13,0,0,0.0,0,0
00509968000148-2-001223/2026,TST,2026-05-25,7920.0,220,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001224/2026,TST,2026-05-25,20065.58,220,Serviços,30000,2.27,EMPRESA DE PEQUENO PORTE,1,1,0,1.495098,1,0,0,0.0,0,0
00509968000148-2-004609/2025,TST,2026-05-12,4061.25,233,Compras,30000,0.23,MICRO EMPRESA,1,1,0,7.386888,1,0,0,0.0,0,0
00509968000148-2-001225/2026,TST,2026-05-07,2536982.2,1826,Serviços,626667,43.8,DEMAIS,,1,0,0.247013,1,0,0,0.0,0,0
00509968000148-2-001226/2026,TST,2026-05-26,13002.0,219,Compras,150000,10.13,MICRO EMPRESA,1,1,0,11.536687,2,0,0,0.0,0,0
00509968000148-2-001228/2026,TST,2026-05-26,1320.0,219,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001229/2026,TST,2026-05-26,2100.0,219,Serviços,0,23.38,DEMAIS,,1,0,,60,0,0,0.0,0,0
00509968000148-2-001230/2026,TST,2026-05-26,4995.0,219,Serviços,50000,35.79,EMPRESA DE PEQUENO PORTE,0,1,0,10.01001,61,0,0,0.0,0,0
00509968000148-2-001231/2026,TST,2026-05-26,49375.0,219,Compras,300000,7.62,DEMAIS,0,1,0,6.075949,2,0,0,0.0,0,0
00509968000148-2-001237/2026,TST,2026-05-05,18112.44,28,Compras,45000,4.67,MICRO EMPRESA,1,1,0,2.48448,9,0,0,0.0,0,0
00509968000148-2-001238/2026,TST,2026-05-04,364.6,28,Compras,60000,3.83,MICRO EMPRESA,1,1,0,164.563906,7,0,0,0.0,0,0
00509968000148-2-001239/2026,TST,2026-05-26,2890.0,65,Serviços,0,56.74,DEMAIS,,1,0,,1,0,0,0.0,0,0
00509968000148-2-001240/2026,TST,2026-05-20,9354.0,186,Compras,20000,15.26,EMPRESA DE PEQUENO PORTE,1,1,0,2.138123,2,0,0,0.0,0,0
00509968000148-2-001241/2026,TST,2026-05-08,3500.0,0,Compras,50000,13.98,MICRO EMPRESA,1,1,0,14.285714,1,0,0,0.0,0,0
00509968000148-2-001242/2026,TST,2026-05-06,1836.0,14,Compras,20000,11.78,EMPRESA DE PEQUENO PORTE,1,1,0,10.893246,1,0,0,0.0,0,0
00509968000148-2-001243/2026,TST,2026-05-14,5060.0,0,Serviços,3000,0.77,MICRO EMPRESA,1,1,0,0.592885,1,0,0,0.0,0,0
00509968000148-2-001244/2026,TST,2026-05-13,3300.0,0,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001248/2026,TST,2026-05-22,876.0,39,Serviços,2620000,25.28,DEMAIS,0,1,0,2990.86758,3,0,0,0.0,0,0
00509968000148-2-001249/2026,TST,2026-05-25,4999.99,220,Compras,150000,3.0,EMPRESA DE PEQUENO PORTE,1,1,0,30.00006,2,0,0,0.0,0,0
00509968000148-2-001303/2026,TST,2026-05-28,134.05,31,Serviços,100000,8.99,EMPRESA DE PEQUENO PORTE,1,1,0,745.990302,7,0,0,0.0,0,0
00509968000148-2-001308/2026,TST,2026-05-25,6350.0,89,Serviços,250000,12.21,EMPRESA DE PEQUENO PORTE,,1,0,39.370079,37,0,0,0.0,0,0
00509968000148-2-001310/2026,TST,2026-05-27,5702.4,218,Compras,100000,4.03,MICRO EMPRESA,1,1,0,17.536476,2,0,0,0.0,0,0
00509968000148-2-001311/2026,TST,2026-05-25,1044235.71,1096,Informática (TIC),1786196100,58.9,DEMAIS,,1,0,1710.529608,59,0,0,0.0,0,0
00509968000148-2-001313/2026,TST,2026-05-26,42750.0,118,Serviços,0,26.54,DEMAIS,,1,0,,52,0,0,0.0,0,0
00509968000148-2-001314/2026,TST,2026-05-29,5250.0,51,Serviços,4000,9.83,MICRO EMPRESA,1,1,0,0.761905,2,0,0,0.0,0,0
00509968000148-2-001315/2026,TST,2026-05-11,12000.0,42,Serviços,30000,16.62,MICRO EMPRESA,1,1,0,2.5,3,0,0,0.0,0,0
00509968000148-2-001318/2026,TST,2026-05-29,12800.0,10,Serviços,900,8.19,MICRO EMPRESA,1,1,0,0.070312,1,0,0,0.0,0,0
00509968000148-2-001321/2026,TST,2026-06-01,1900.0,0,Serviços,100000,1.36,MICRO EMPRESA,1,1,0,52.631579,1,0,0,0.0,0,0
00509968000148-2-001330/2026,TST,2026-05-27,1714.2,218,Compras,110000,10.32,MICRO EMPRESA,1,1,0,64.169875,7,0,0,0.0,0,0
00509968000148-2-001333/2026,TST,2026-05-29,300600.0,364,Compras,2000000,3.8,DEMAIS,,1,0,6.65336,14,0,0,0.0,0,0
00509968000148-2-001334/2026,TST,2026-05-27,2820.0,22,Serviços,81000,26.66,DEMAIS,,1,0,28.723404,5,0,0,0.0,0,0
00509968000148-2-001335/2026,TST,2026-05-26,1320.0,18,Serviços,0,54.61,DEMAIS,,1,0,,10,0,0,0.0,0,0
00509968000148-2-001337/2026,TST,2026-06-01,2500.0,213,Serviços,105000,20.32,MICRO EMPRESA,1,1,0,42.0,6,0,0,0.0,0,0
00509968000148-2-001347/2026,TST,2026-05-27,3180.0,37,Serviços,0,49.03,DEMAIS,,1,0,,3,0,0,0.0,0,0
00509968000148-2-001350/2026,TST,2026-06-02,3861.5,100,Compras,100000,8.53,MICRO EMPRESA,1,1,0,25.896672,2,0,0,0.0,0,0
00509968000148-2-001351/2026,TST,2026-06-01,1588.0,100,Compras,150000,3.96,EMPRESA DE PEQUENO PORTE,1,1,0,94.458438,8,0,0,0.0,0,0
00509968000148-2-001355/2026,TST,2026-06-01,13152.96,730,Serviços,410000,7.46,EMPRESA DE PEQUENO PORTE,,1,0,31.171691,2,0,0,0.0,0,0
00509968000148-2-001357/2026,TST,2026-05-29,1100.0,14,Serviços,140000,2.87,MICRO EMPRESA,1,1,0,127.272727,2,0,0,0.0,0,0
00509968000148-2-001364/2026,TST,2026-05-25,19920.0,20,Serviços,20000,1.82,MICRO EMPRESA,1,1,0,1.004016,11,0,0,0.0,0,0
00509968000148-2-001265/2026,TST,2026-05-26,7329.02,219,Compras,128856100,29.76,DEMAIS,,1,0,17581.627557,4,0,0,0.0,0,0
00509968000148-2-001270/2026,TST,2026-05-15,9800.0,230,Compras,100000,9.95,MICRO EMPRESA,1,1,0,10.204082,2,0,0,0.0,0,0
00509968000148-2-004611/2025,TST,2026-05-21,7353.53,224,Compras,80000,2.15,EMPRESA DE PEQUENO PORTE,1,1,0,10.879129,4,0,0,0.0,0,0
00509968000148-2-001281/2026,TST,2024-05-26,16151.1,219,Compras,20000,2.75,MICRO EMPRESA,0,1,0,1.238306,4,0,0,0.0,0,0
00509968000148-2-001285/2026,TST,2026-05-28,12012.0,183,Compras,2000,0.65,MICRO EMPRESA,1,1,0,0.1665,2,0,0,0.0,0,0
00509968000148-2-001301/2026,TST,2026-05-28,57511.0,364,Informática (TIC),1700000,24.8,DEMAIS,0,1,0,29.559563,21,0,0,0.0,0,0
00509968000148-2-001302/2026,TST,2026-05-28,8640.0,183,Serviços,100000,11.57,EMPRESA DE PEQUENO PORTE,1,1,0,11.574074,20,0,0,0.0,0,0
00509968000148-2-004612/2025,TST,2026-05-28,157.7,0,Serviços,100000,8.99,EMPRESA DE PEQUENO PORTE,1,1,0,634.115409,7,0,0,0.0,0,0
00509968000148-2-001307/2026,TST,2026-05-27,50874.0,364,Informática (TIC),3750000,14.18,DEMAIS,,1,0,73.711523,5,0,0,0.0,0,0
00509968000148-2-001322/2026,TST,2026-05-29,2812.0,32,Serviços,2000000,32.17,MICRO EMPRESA,0,1,0,711.237553,2,0,0,0.0,0,0
00509968000148-2-001323/2026,TST,2026-05-05,1634.0,23,Serviços,2000000,32.1,MICRO EMPRESA,0,1,0,1223.990208,2,0,0,0.0,0,0
00509968000148-2-004613/2025,TST,2026-06-01,9100.0,119,Compras,150000,18.97,MICRO EMPRESA,1,1,0,16.483516,1,0,0,0.0,0,0
00509968000148-2-001332/2026,TST,2026-05-28,10840.0,217,Compras,100000,31.74,EMPRESA DE PEQUENO PORTE,1,1,0,9.225092,1,0,1,0.0,0,1
00509968000148-2-004615/2025,TST,2026-05-28,0.01,1521,Serviços,65000000000,40.79,DEMAIS,,1,0,6500000000000.0,4,0,0,0.0,0,0
00509968000148-2-001353/2026,TST,2026-06-02,2493.86,63,Compras,15000,17.71,EMPRESA DE PEQUENO PORTE,1,1,0,6.014772,4,0,0,0.0,0,0
00509968000148-2-001354/2026,TST,2026-06-02,31250.0,364,Serviços,152000,10.43,MICRO EMPRESA,1,1,0,4.864,1,0,0,0.0,0,0
00509968000148-2-001267/2026,TST,2026-05-27,591912.0,364,Informática (TIC),300000,10.8,EMPRESA DE PEQUENO PORTE,0,1,0,0.506832,3,0,0,0.0,0,0
00509968000148-2-001274/2026,TST,2026-05-21,12920.72,224,Compras,10000,2.99,MICRO EMPRESA,1,1,0,0.773951,1,0,0,0.0,0,0
00509968000148-2-001275/2026,TST,2026-05-21,65000.0,45,Serviços,10000,10.18,MICRO EMPRESA,1,1,0,0.153846,1,0,0,0.0,0,0
00509968000148-2-001278/2026,TST,2026-05-18,10300.0,365,Serviços,99800,22.3,DEMAIS,0,1,0,9.68932,30,0,0,0.0,0,0
00509968000148-2-001305/2026,TST,2026-05-28,20000.0,217,Serviços,225000,20.43,DEMAIS,,1,0,11.25,21,0,0,0.0,0,0
00509968000148-2-001306/2026,TST,2026-05-28,46184.0,180,Compras,0,27.7,MICRO EMPRESA,1,1,0,,12,0,0,0.0,0,0
00509968000148-2-001331/2026,TST,2026-05-28,5944.0,89,Serviços,10000,6.31,MICRO EMPRESA,1,1,0,1.682369,1,0,0,0.0,0,0
00509968000148-2-001338/2026,TST,2026-06-01,710.0,213,Compras,80000,10.07,EMPRESA DE PEQUENO PORTE,1,1,0,112.676056,1,0,0,0.0,0,0
00509968000148-2-001339/2026,TST,2026-05-29,7360.0,32,Compras,150000,7.6,MICRO EMPRESA,1,1,0,20.380435,2,0,0,0.0,0,0
00509968000148-2-001340/2026,TST,2026-05-27,185000.0,16,Serviços,70000,20.39,EMPRESA DE PEQUENO PORTE,1,1,0,0.378378,57,0,0,0.0,0,0
00509968000148-2-001356/2026,TST,2026-06-02,3758.0,92,Serviços,500000,17.8,EMPRESA DE PEQUENO PORTE,1,1,0,133.049494,2,0,0,0.0,0,0
00509968000148-2-001360/2026,TST,2026-05-26,6500.0,219,Serviços,0,38.43,DEMAIS,,1,0,,1,0,0,0.0,0,0
00509968000148-2-001366/2026,TST,2026-05-25,1687.0,220,Compras,200000,10.4,EMPRESA DE PEQUENO PORTE,0,1,0,118.553646,6,0,0,0.0,0,0
00509968000148-2-001369/2026,TST,2026-06-03,1620.0,179,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001370/2026,TST,2026-05-29,2690.0,179,Serviços,30000,18.69,EMPRESA DE PEQUENO PORTE,0,1,0,11.152416,90,0,0,0.0,0,0
00509968000148-2-001372/2026,TST,2026-06-03,1080.0,0,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001373/2026,TST,2026-06-03,2500.0,0,Serviços,10000,6.56,MICRO EMPRESA,,1,0,4.0,1,0,0,0.0,0,0
00509968000148-2-001380/2026,TST,2026-06-03,1100.0,206,Serviços,2000000,15.82,EMPRESA DE PEQUENO PORTE,,1,0,1818.181818,8,0,0,0.0,0,0
00509968000148-2-001385/2026,TST,2026-06-01,3890.0,213,Serviços,10000,3.18,MICRO EMPRESA,0,1,0,2.570694,26,0,0,0.0,0,0
00509968000148-2-001386/2026,TST,2026-05-26,2160.0,89,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001387/2026,TST,2026-05-26,2160.0,89,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001388/2026,TST,2026-06-03,15015.0,92,Serviços,119800,31.0,EMPRESA DE PEQUENO PORTE,1,1,0,7.978688,12,0,0,0.0,0,0
00509968000148-2-001390/2026,TST,2026-06-08,8995.8,206,Compras,50000,9.32,MICRO EMPRESA,0,1,0,5.558149,4,0,0,0.0,0,0
00509968000148-2-001395/2026,TST,2026-06-01,2747.34,365,Serviços de Engenharia,1650000,6.82,DEMAIS,0,1,0,600.580926,7,0,0,0.0,0,0
00509968000148-2-001406/2026,TST,2026-06-03,8000.0,89,Serviços,0,19.03,DEMAIS,,1,0,,3,0,0,0.0,0,0
00509968000148-2-001411/2026,TST,2026-05-29,917.84,30,Compras,10000,23.03,EMPRESA DE PEQUENO PORTE,1,1,0,10.895145,1,0,0,0.0,0,0
00509968000148-2-001412/2026,TST,2026-06-08,1712699.64,183,Serviços,11000000,19.33,DEMAIS,0,1,0,6.422609,1,1,0,0.0435,731,1
00509968000148-2-001426/2026,TST,2026-05-29,737.52,179,Compras,500000,3.96,EMPRESA DE PEQUENO PORTE,1,1,0,677.947717,1,0,0,0.0,0,0
00509968000148-2-001427/2026,TST,2026-06-08,772647.0,939,Serviços,13477890000,28.25,DEMAIS,,1,0,17443.787396,8,0,0,0.0,0,0
00509968000148-2-001442/2026,TST,2026-06-08,2864.0,181,Compras,200000,55.04,EMPRESA DE PEQUENO PORTE,1,1,0,69.832402,2,0,0,0.0,0,0
00509968000148-2-001445/2026,TST,2026-06-09,2500.0,89,Serviços,150000,1.59,MICRO EMPRESA,1,1,0,60.0,8,0,0,0.0,0,0
00509968000148-2-001407/2026,TST,2026-06-02,10000.0,212,Serviços,500000,6.9,EMPRESA DE PEQUENO PORTE,0,1,0,50.0,5,0,0,0.0,0,0
00509968000148-2-001408/2026,TST,2026-06-08,8243.64,90,Serviços,950000,11.03,EMPRESA DE PEQUENO PORTE,0,1,0,115.240355,3,0,0,0.0,0,0
00509968000148-2-001413/2026,TST,2026-06-02,480.0,212,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001414/2026,TST,2026-06-02,1320.0,212,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001415/2026,TST,2026-05-28,6064.0,204,Serviços,10000,24.71,MICRO EMPRESA,1,1,0,1.649077,2,0,0,0.0,0,0
00509968000148-2-001428/2026,TST,2026-06-08,75937.12,60,Compras,242767500,40.33,DEMAIS,,1,0,3196.95427,30,0,0,0.0,0,0
00509968000148-2-001433/2026,TST,2026-05-06,13800.0,31,Serviços,100000,7.53,EMPRESA DE PEQUENO PORTE,0,1,0,7.246377,7,0,0,0.0,0,0
00509968000148-2-001434/2026,TST,2026-05-06,13800.0,31,Serviços,100000,7.53,EMPRESA DE PEQUENO PORTE,0,1,0,7.246377,7,0,0,0.0,0,0
00509968000148-2-001435/2026,TST,2026-05-08,11750.0,31,Compras,510000,15.49,MICRO EMPRESA,1,1,0,43.404255,4,0,0,0.0,0,0
00509968000148-2-001436/2026,TST,2026-05-08,17600.0,31,Compras,510000,15.49,MICRO EMPRESA,1,1,0,28.977273,4,0,0,0.0,0,0
00509968000148-2-001448/2026,TST,2026-06-01,84696.27,1825,Informática (TIC),300000,9.65,MICRO EMPRESA,1,1,0,3.542069,8,0,0,0.0,0,0
00509968000148-2-001269/2026,TST,2026-05-13,4590.0,82,Serviços,0,23.34,DEMAIS,,1,0,,60,0,0,0.0,0,0
00509968000148-2-001282/2026,TST,2026-05-25,1592.0,219,Compras,100000,40.87,EMPRESA DE PEQUENO PORTE,1,1,0,62.81407,6,0,0,0.0,0,0
